Component,percent_w_w,Functional_role
"Skim milk base",88.2,"Primary carrier matrix; protein stabilization & oral delivery vehicle"
"Milk protein isolate",4.5,"Satiety support; slows gastric emptying; improves glycemic response"
"Resistant maltodextrin",2.2,"Low-GI carbohydrate system; attenuates post-prandial glucose spikes"
"Inulin (prebiotic fiber)",1.8,"Improves insulin sensitivity via microbiome modulation"
"Caprylic/Capric triglyceride",1.5,"Lipid absorption enhancer for hydrophobic ligands"
"Isomaltulose",1.2,"Slow-release carbohydrate energy source"
"BrCC(Br)CCC(Br)CBr",0.025,"Primary DPP-4 modulation ligand (structure-guided bioactivity component)"
"BrC(I)=CC(Br)Br",0.015,"Secondary complementary metabolic modulation ligand"
"Chromium picolinate",0.005,"Insulin signaling cofactor"
"Magnesium citrate",0.02,"Glucose metabolism support"
"Vitamin premix",0.3,"Metabolic micronutrient support"
"Natural flavor system",0.215,"Palatability improvement"
