"Category","Canonical_ID","Canonical_Type","Hits_in_Screening","Aliases (same name)","CVD_risk","Obesity_risk","Core","Pathway","Key Molecular Nodes","extract_type","cell_lines","parameter","effect_on_target",""
"Longevity","curcuma_longa","spices","18","Curcuma longa; Indian saffron; Turmeric","","","Autophagy completion; Cellular energy; Energy sensing; Functional plasticity; Genomic stability; Mitochondrial renewal; Mitophagy; Proteostasis; Redox defense; Redox reset; Stress resistance","AMPK–mTOR nutrient-sensing pathway; Autophagy flux & lysosomal pathway; Basal autophagy–lysosome pathway; Cellular plasticity & renewal signaling; DNA damage response & repair pathway; FOXO–Sirtuin longevity pathway; Mitochondrial redox recovery pathway; NAD⁺–sirtuin mitochondrial axis; NRF2 antioxidant response pathway; PGC-1α mitochondrial biogenesis pathway; PINK1–Parkin mitochondrial quality control","AMPK ↑ · mTORC1 ↓ · IGF-1 tone ↓; BDNF ↑ · WNT ↔ (normalized); BECN1 ↑ · LC3B ↑ · LAMP2 ↑ · p62 ↓; BECN1 ↑ · LC3B ↑ · p62 ↓; FOXO3 ↑ · SIRT6 ↑ · SIRT1 ↑; NAD⁺ ↑ · SIRT3 ↑; NRF2 ↑ · SOD ↑; PARP1 ↑ · ATM ↑; PINK1 ↑ · Parkin ↑; PPARGC1A ↑ · NRF1 ↑ · TFAM ↑; ROS ↓ · SOD ↑","aqueous; crude extract; curcumin; essential oil; fermented, unfermented; hot water extract; oleoresin","Balb/c mice; H4IIE, Hep3B; HCT116; L-02, BALB/c mice; Sprague-Dawley rats; THP-1; duck; mice; mouse neonatal cardiomyocytes; neonatal rat cardiomyocytes, rat hearts; rat","1.5 g curcumin/kg HFD; 100 mg CUR/kg BW p.o., 50 mg BDMC/kg BW p.o.; 100 mg/kg; 120 mg/kg/d; 200 mg/kg; 25 mg/kg; 300 mg/kg/d; 5 or 10 mg/kg, p.o. (chronic curcumin administration); 50 mg/kg-BW/day (low dose), 100 mg/kg-BW/day (high dose); 75 and 150 mg/kg; 800 ng/microL (calf thymus DNA), 300 ng/microL (human peripheral lymphocytes)","ATM and ATR signaling pathways may be not involved in CUR-mediated S and G2/M phase arrest; activated AMPK; activated SIRT1 signaling; activated the SIRT1/PGC-1α/NRF1 pathway; upregulated SIRT1, PGC-1α, and NRF1 expressions; ameliorated the decreases in GSH and SOD levels; blocked stress-induced decreases in BDNF; downregulated p62 expression, increased SOD levels, increased GSH levels, and downregulated p-AKT expression; increased BDNF levels in the hippocampus of IBS rats; increased SIRT3 signaling; increased SOD activity; increased SOD levels; reduced mRNA and protein levels of PINK1, Parkin, and p62; activated PGC-1α pathway; inhibited mTORC1 activity by dissociating raptor from mTOR; prevented the increase in PINK1 and prevented the decrease in SIRT3; reduced ROS production; upregulated PGC-1α, NRF1, and Mn-SOD (SOD) expression; inhibited NF-κB pathway; reduced TNF-α and IL-1β production",""
"","gaba","new_food","15","GABA; γ-Aminobutyric acid","","","Autophagy completion; Cellular energy; Functional plasticity; Genomic stability; Mitophagy; Proteostasis; Redox defense; Redox reset; Stress resistance","Autophagy flux & lysosomal pathway; Basal autophagy–lysosome pathway; Cellular plasticity & renewal signaling; DNA damage response & repair pathway; FOXO–Sirtuin longevity pathway; Mitochondrial redox recovery pathway; NAD⁺–sirtuin mitochondrial axis; NRF2 antioxidant response pathway; PINK1–Parkin mitochondrial quality control","BDNF ↑ · WNT ↔ (normalized); BECN1 ↑ · LC3B ↑ · LAMP2 ↑ · p62 ↓; BECN1 ↑ · LC3B ↑ · p62 ↓; FOXO3 ↑ · SIRT6 ↑ · SIRT1 ↑; NAD⁺ ↑ · SIRT3 ↑; NRF2 ↑ · SOD ↑; PARP1 ↑ · ATM ↑; PINK1 ↑ · Parkin ↑; ROS ↓ · SOD ↑","aqueous; cerebroprotein hydrolysate; ethanolic; extract; pGABA","C57BL/6 mice; HCC cell lines; INS-1, human islet cells; human umbilical vein endothelial cells (HUVEC); mice; rat; rats","0.5 mM; 10 mM PTZ for 2-12h; 100 mg/d (fluvoxamine); 30 mg/kg/day; 50 mg/kg","activated ATM-P53-P21 pathway (indirect effect via Fipronil-induced DNA damage and ROS increase), increased reactive oxygen species (ROS) levels, and caused DNA damage; enhanced the activity of superoxide dismutase (SOD); expression of SIRT3 decreases in chronic seizures vs. a single seizure; increased BDNF levels; increased SIRT1 expression and enzymatic activity, inhibited NF-κB activation through deacetylation of p65 component; increased SOD activity; induced PINK1/parkin-mediated mitophagy; miR-195 inhibition promotes autophagy (LC3B expression) in hEPCs under hypoxia; scavenged excessive ROS; triggers release of BDNF; up-regulated expression of eNOS and SIRT1; increased expression of LC3B (autophagy-regulated gene)",""
"","egcg","new_food","14","EGCG; Epigallocatechin gallate","","","Cellular energy; Energy sensing; Functional plasticity; Genomic stability; Mitochondrial renewal; Mitophagy; Redox defense; Redox reset; Stress resistance","AMPK–mTOR nutrient-sensing pathway; Cellular plasticity & renewal signaling; DNA damage response & repair pathway; FOXO–Sirtuin longevity pathway; Mitochondrial redox recovery pathway; NAD⁺–sirtuin mitochondrial axis; NRF2 antioxidant response pathway; PGC-1α mitochondrial biogenesis pathway; PINK1–Parkin mitochondrial quality control","AMPK ↑ · mTORC1 ↓ · IGF-1 tone ↓; BDNF ↑ · WNT ↔ (normalized); FOXO3 ↑ · SIRT6 ↑ · SIRT1 ↑; NAD⁺ ↑ · SIRT3 ↑; NRF2 ↑ · SOD ↑; PARP1 ↑ · ATM ↑; PINK1 ↑ · Parkin ↑; PPARGC1A ↑ · NRF1 ↑ · TFAM ↑; ROS ↓ · SOD ↑","Aloe vera flower extract; aqueous; green tea extract; unfractionated green tea polyphenols","3T3-L1; H9C2, neonatal rat cardiomyocytes; MCF-7, MDA-MB-231; PC12; Wistar rats; head and neck cancer cell lines, lung cancer cell lines; mice; porcine skeletal muscles; rat","0.1 mM and 0.5 mM; 10 mg/kg, 20 mg/kg; 10 μg/mL; 10 μmol/L; 100 mg/kg/day (diabetic rats), 20 µM (H9c2 cells); 2.5 μM; 200 mg/kg body weight (BALB/c mice); 50 μM","activated AMPK; activated AMPK and SIRT1, activated NRF2, enhanced SOD activity, and induced temporary increase in ROS levels; activates ATM; activates mitophagy via PINK1/Parkin pathway and reduces excessive ROS production; increased LC3B II[+]MitoTracker[+] puncta, upregulated PGC-1α and NRF1 in vitro, increased interaction between PGC-1α and NRF1; increased SIRT3 expression at 50 μM (p 0.01) and correlated with lowered IL6 secretion (p 0.05); increased SOD activity; increased levels of PINK1 and Parkin (via TP 300 mg/kg), with EGCG's effect on mitophagy modulated by ERS inhibition (inhibited by TM, promoted by 4-PBA); induced ATM-dependent Ser(15) phosphorylation of p53; low BDNF levels associated with increased DYRK1A gene dosage, which EGCG inhibits; scavenged ROS; significantly increased the expression of BDNF; stimulated SIRT1 protein",""
"","ganoderma_lucidum","herb","14","Ganoderma lucidum; Ling Zhi; Lingzhi mushroom; Reishi","","","Autophagy completion; Energy sensing; Functional plasticity; Mitochondrial integrity; Mitophagy; Proteostasis; Redox defense; Redox reset; Stress resistance","AMPK–mTOR nutrient-sensing pathway; Autophagy flux & lysosomal pathway; Basal autophagy–lysosome pathway; Cellular plasticity & renewal signaling; ER–mitochondria homeostasis pathway; FOXO–Sirtuin longevity pathway; Mitochondrial redox recovery pathway; NRF2 antioxidant response pathway; PINK1–Parkin mitochondrial quality control","AMPK ↑ · mTORC1 ↓ · IGF-1 tone ↓; BDNF ↑ · WNT ↔ (normalized); BECN1 ↑ · LC3B ↑ · LAMP2 ↑ · p62 ↓; BECN1 ↑ · LC3B ↑ · p62 ↓; CISD2 ↑ · MFN2 ↑; FOXO3 ↑ · SIRT6 ↑ · SIRT1 ↑; NRF2 ↑ · SOD ↑; PINK1 ↑ · Parkin ↑; ROS ↓ · SOD ↑","aqueous; ethanol; methanolic; polysaccharide-enriched fraction; polysaccharides","AGS; HepG2; SHIME; Wistar rats; mice; neuroblastoma neuro-2a, primary mesencephalic neurons, mice; rat; rat, HT22","1, 10, 100 microg/ml; 300 mg/kg/day; 360 and 720 mg/kg; 400 mg/kg/day (in vivo), 800 μg/mL (in vitro); 50 mg/kg and 250 mg/kg (once daily for 15 days); 50, 100, 200 mg/kg (acute study), 100, 500, 1000 mg/kg (subchronic study)","activated AMPK network and inhibited mTORC1 signaling; activated AMPK; counteracted inhibition of PINK1 and Parkin expression; decreased p62 levels; enhanced phosphorylation of AMPK; improved abnormal protein expression of PGC-1α, MFN2, and up-regulated BDNF expression in hippocampi of 5-FU-treated mice; increased GSH levels, elevated Mn SOD activity, and decreased ROS levels; increased SOD activity; modulated cytokines (IL-1β, TNF-α) and oxidative stress indicators (SOD, GSH-px) in serum/urine, but no specific quantitative effect magnitude provided; restored SIRT1 and UCP1 levels; ameliorated antioxidant status (SOD, GSH); upregulated BDNF expression via ERK1/ERK2 induction; upregulated BDNF; influenced redox balance (ROS and GSH) through Nrf2 pathway activation",""
"","lycium_barbarum","herb","14","Goji berry; Gou Qi Zi; Lycium barbarum; Wolfberry","","","Autophagy completion; Cellular energy; Energy sensing; Functional plasticity; Mitophagy; Proteostasis; Redox defense; Redox reset; Stress resistance","AMPK–mTOR nutrient-sensing pathway; Autophagy flux & lysosomal pathway; Basal autophagy–lysosome pathway; Cellular plasticity & renewal signaling; FOXO–Sirtuin longevity pathway; Mitochondrial redox recovery pathway; NAD⁺–sirtuin mitochondrial axis; NRF2 antioxidant response pathway; PINK1–Parkin mitochondrial quality control","AMPK ↑ · mTORC1 ↓ · IGF-1 tone ↓; BDNF ↑ · WNT ↔ (normalized); BECN1 ↑ · LC3B ↑ · LAMP2 ↑ · p62 ↓; BECN1 ↑ · LC3B ↑ · p62 ↓; FOXO3 ↑ · SIRT6 ↑ · SIRT1 ↑; NAD⁺ ↑ · SIRT3 ↑; NRF2 ↑ · SOD ↑; PINK1 ↑ · Parkin ↑; ROS ↓ · SOD ↑","Lycium barbarum polysaccharides; aqueous slurry; nanovesicles; polysaccharide; polysaccharides; water","C2C12, muscle atrophy model mice; C57BL/6J mice, HepG2 cells; boars; mice; mice, AMPKα2 knockout mice; mice, cardiomyocytes; murine two-cell embryos; rat; skin cells (implied by UVB-induced photoaging context)","1 mg/kg/day; 10 mg/kg/day; 100 mg/kg; 100 mg/kg/day; 100 μg/mL; 62.5, 125 and 250 µg/mL; EC50 = 1.85 mg/mL","activated AMPK phosphorylation, suppressed SREBP-1c nuclear expression, and increased UCP1 and PGC-1α expression in brown adipose tissue; activated the LKB1/AMPK pathway; activates the AMPK/SIRT1/PGC1α pathway; enhanced SOD activity, mitigated intracellular ROS production, upregulated SIRT3 expression, and down-regulated TNF-α expression; increased SOD activity; increased SOD levels; no effect on BDNF; reduced ROS generation and increased SOD and GSH enzyme activity; reduced p62 accumulation by enhancing mitophagy and mitochondrial biogenesis; restored impaired PINK1/Parkin-mediated mitophagy pathway; significantly increased SOD activity; up-regulates SIRT1 deacetylase activity and protein expression, promotes AMPK phosphorylation via SIRT1-dependent signaling, increases ACC phosphorylation, and increases ATGL protein expression",""
"","morus_alba","herb","14","Morus alba; Mulberry fruit; Mulberry leaf","","","Autophagy completion; Energy sensing; Functional plasticity; Genomic stability; Mitophagy; Proteostasis; Redox defense; Redox reset; Stress resistance","AMPK–mTOR nutrient-sensing pathway; Autophagy flux & lysosomal pathway; Basal autophagy–lysosome pathway; Cellular plasticity & renewal signaling; DNA damage response & repair pathway; FOXO–Sirtuin longevity pathway; Mitochondrial redox recovery pathway; NRF2 antioxidant response pathway; PINK1–Parkin mitochondrial quality control","AMPK ↑ · mTORC1 ↓ · IGF-1 tone ↓; BDNF ↑ · WNT ↔ (normalized); BECN1 ↑ · LC3B ↑ · LAMP2 ↑ · p62 ↓; BECN1 ↑ · LC3B ↑ · p62 ↓; FOXO3 ↑ · SIRT6 ↑ · SIRT1 ↑; NRF2 ↑ · SOD ↑; PARP1 ↑ · ATM ↑; PINK1 ↑ · Parkin ↑; ROS ↓ · SOD ↑","ethanol; ethyl acetate; hot water extract; methanol; mulberry fruit extract; mulberry leaf extract; water extract","H9c2; HT-22, mice; Hep3B, HCC cells; L6, db/db mice; T2DM mice; db/db mice; diabetic rats; pancreatic cancer cells; rat","1, 10, and 100 µM; 1.00 mg/mL; 10g/kg, ig; 200 mg/kg; 4 g crude drug/kg; 5% or 10% MFP in diet; 50, 100, and 200 mg·kg[-1] BW","ROS accumulation triggered PINK1/Parkin-mediated mitophagy; activated AMPK activity in a dose- and time-dependent manner through increased Thr(172) phosphorylation of the catalytic alpha subunit and Ser(79) phosphorylation of acetyl CoA carboxylase; blocked the XIAP/PARP1 axis; elevated expression of BDNF; enhanced SOD activity, reduced ROS formation, and increased glutathione peroxidase (GSH-Px) activity; enhanced activation of AMPKα and decreased accumulation of p62; enhanced the enzymatic activity of superoxide dismutase (SOD) and reactive oxygen species (ROS) scavengers, and inhibited hydrogen peroxide (H2O2) production; increased BDNF expression in the prefrontal cortex; increased SOD activity in red blood cells and liver, increased GSH-Px activity in blood; increased antioxidant enzymatic activities (SOD, CAT, GSH-Px); increased phosphorylated AMPK (Thr 172); increased phosphorylation of AMPK, increased expression of PGC-1α, up-regulated protein levels of m-GLUT4 and T-GLUT4; upregulated the protein expression of phosphorylated-AMPK, AMPK, SIRT1, and PGC-1α in brown adipose tissue (BAT) and inguinal white adipose tissue (IWAT)",""
"","—","herb","12","Bee honey; Donkey-hide gelatin; Honey","avoid","","Autophagy completion; Cellular energy; Energy sensing; Functional plasticity; Proteostasis; Redox defense; Redox reset","AMPK–mTOR nutrient-sensing pathway; Autophagy flux & lysosomal pathway; Basal autophagy–lysosome pathway; Cellular plasticity & renewal signaling; Mitochondrial redox recovery pathway; NAD⁺–sirtuin mitochondrial axis; NRF2 antioxidant response pathway","AMPK ↑ · mTORC1 ↓ · IGF-1 tone ↓; BDNF ↑ · WNT ↔ (normalized); BECN1 ↑ · LC3B ↑ · LAMP2 ↑ · p62 ↓; BECN1 ↑ · LC3B ↑ · p62 ↓; NAD⁺ ↑ · SIRT3 ↑; NRF2 ↑ · SOD ↑; ROS ↓ · SOD ↑","","H-P extract; crude extract; diethyl ether extract of flowers (DEF extract), ethyl acetate extract of seeds (EAS extract); diluted bee honey; ethanol; honey; phenolic-rich extract","Glycine max seedlings; HaCaT; MCF-7, EFM-19, MCF-10A; Swiss albino mice; diabetic rats, liver, skeletal muscle, adipose tissues; mice; rat","0.06; 0.2 g/kg/day; 200 mg/kg/day (Fp extract), 80 mg/kg/day (nimesulide); 2000 mg/kg (acute supplementation); 5 g/kg; administered at 25 and 50 mg/kg","increased SIRT1 and SIRT3 gene expression in HaCaT cells (SIRT1: 3.43, 1.18, 2.62, and 1.72 expression quantity; SIRT3: 16.27, 5.01, 3.01, and 6.18 expression quantity); increased SOD activity; increased SOD activity and decreased ROS levels; increased SOD activity, increased GSH-Px activity; modulation of AKT/mTOR/Foxo3a signaling pathway and the AMPK pathway; regulated autophagy-related LC3B; significant upregulation of BDNF; up-regulated BDNF; upregulated Nrf2 and Sod1 expression in a tissue-specific manner"
"","astragalus_membranaceus","herb","11","Astragalus; Astragalus membranaceus","","","Cellular energy; Energy sensing; Functional plasticity; Genomic stability; Mitochondrial integrity; Mitophagy; Redox defense; Redox reset; Stress resistance","AMPK–mTOR nutrient-sensing pathway; Cellular plasticity & renewal signaling; DNA damage response & repair pathway; ER–mitochondria homeostasis pathway; FOXO–Sirtuin longevity pathway; Mitochondrial redox recovery pathway; NAD⁺–sirtuin mitochondrial axis; NRF2 antioxidant response pathway; PINK1–Parkin mitochondrial quality control","AMPK ↑ · mTORC1 ↓ · IGF-1 tone ↓; BDNF ↑ · WNT ↔ (normalized); CISD2 ↑ · MFN2 ↑; FOXO3 ↑ · SIRT6 ↑ · SIRT1 ↑; NAD⁺ ↑ · SIRT3 ↑; NRF2 ↑ · SOD ↑; PARP1 ↑ · ATM ↑; PINK1 ↑ · Parkin ↑; ROS ↓ · SOD ↑","AME; APF (Astragalus mongholicus Bunge and Panax notoginseng (Burkill) F.H. Chen formula); Total Astragalus saponins; decoction; polysaccharide; polysaccharides","C57 mice, H9c2; Drosophila melanogaster; RAW264.7; SGC-7901; ST2; mice; rat","100, 200, or 400 mg/kg (QCSL); 100-1600 μg/mL; 200 mg/kg; 3.2 and 6.4 mg/kg/day; 5, 10, 20 mg/kg; 50 µg/ml; 50, 100, and 200 µg/mL","activated AMPK; increased SIRT6 mRNA expression in non-small cell lung cancer cells when combined with gefitinib; increased SOD activity; increased SOD activity, increased MFN2 levels, increased GSH level; increased expression of PINK1 and Parkin; increased β-catenin expression, indicating activation of the WNT/β-catenin signaling pathway; replenished the depleted SOD by more than 60%; significantly stimulated GSH production; triggered expression changes of PARP1; upregulated SIRT3 expression and induced ferroptosis, resulting in increased ROS levels",""
"","cannabis_sativa","herb","11","Cannabis sativa; Hemp seed","","caution","Autophagy completion; Energy sensing; Functional plasticity; Genomic stability; Mitophagy; Proteostasis; Redox defense; Redox reset; Stress resistance","AMPK–mTOR nutrient-sensing pathway; Autophagy flux & lysosomal pathway; Basal autophagy–lysosome pathway; Cellular plasticity & renewal signaling; DNA damage response & repair pathway; FOXO–Sirtuin longevity pathway; Mitochondrial redox recovery pathway; NRF2 antioxidant response pathway; PINK1–Parkin mitochondrial quality control","AMPK ↑ · mTORC1 ↓ · IGF-1 tone ↓; BDNF ↑ · WNT ↔ (normalized); BECN1 ↑ · LC3B ↑ · LAMP2 ↑ · p62 ↓; BECN1 ↑ · LC3B ↑ · p62 ↓; FOXO3 ↑ · SIRT6 ↑ · SIRT1 ↑; NRF2 ↑ · SOD ↑; PARP1 ↑ · ATM ↑; PINK1 ↑ · Parkin ↑; ROS ↓ · SOD ↑","60% EtOH-H2O; cannabigerol-enriched extract; ethanol; hexane; oil","3T3-L1; BV2 microglia cells; Caov3, OVCAR3; HaCaT; HepG2, HuH-7; RAW264.7; THP-1, primary human macrophages; U87MG, T98G, CCF-STTG1, SH-SY5Y, MO3.13; mice","10(-7)-10(-4) M; 2 mg/kg; 2.5 or 5 mg/kg (in vivo), 2.5 or 5 μM (in vitro); 20 µM; 2 g/day; 30 mg/kg; IC50 = 59 μM (HMGCoAR), 25 µM (LDLR)","decreased ROS production; enhanced PARP1 cleavage; exhibited strong binding affinities relative to PINK1; increased BDNF gene expression; increased SOD activity; increased protein expression levels of SIRT1, PGC-1α, PRDM16, and UCP1; stimulated AMPK; suppressed TNF-α production, enhanced SIRT1 expression, blocked NF-κB signaling pathway activation by inhibiting phosphorylation of IκBα and NF-κB p65, and reduced reactive oxygen species (ROS) production; upregulates expression of autophagy receptor p62/SQSTM1",""
"","piper_longum","spices","11","Long pepper; Piper longum","caution","caution","Autophagy completion; Energy sensing; Functional plasticity; Genomic stability; Proteostasis; Redox reset; Stress resistance","AMPK–mTOR nutrient-sensing pathway; Autophagy flux & lysosomal pathway; Basal autophagy–lysosome pathway; Cellular plasticity & renewal signaling; DNA damage response & repair pathway; FOXO–Sirtuin longevity pathway; Mitochondrial redox recovery pathway","AMPK ↑ · mTORC1 ↓ · IGF-1 tone ↓; BDNF ↑ · WNT ↔ (normalized); BECN1 ↑ · LC3B ↑ · LAMP2 ↑ · p62 ↓; BECN1 ↑ · LC3B ↑ · p62 ↓; FOXO3 ↑ · SIRT6 ↑ · SIRT1 ↑; PARP1 ↑ · ATM ↑; ROS ↓ · SOD ↑","85% ethanol; ethanol; ethyl acetate fraction; fruit","HepG2; OSCC cell lines; murine thymocytes; primary benign meningioma cells, malignant meningioma cells; primary myeloid leukemia cells, BMMNCs from MDS patients; primary neurons, SK-N-SH, mouse; prostate cancer cells, kidney cancer cells, breast cancer cells","1, 10, and 50 microg/ml; 2 and 4 mg/kg (mice); 5 μM; IC50 < 20 μmol/L","activated SIRT1; decrease of mTORC1 activity due to downregulation of Akt downstream signalling; increased LC3B expression and increased ROS levels; increased LC3B-II levels and formation of LC3B puncta, indicating autophagy induction; increased ROS levels in OSCC cells, inhibited activation of the WNT pathway; the effects on WNT pathway and mitochondrial apoptosis could be reversed by GSH (ROS scavenger); induced nuclear translocation of FOXO3 and activated FOXO-dependent transcription; inhibited reactive oxygen species (ROS) production; inhibited ROS production and replenished GSH; up-regulated cleaved PARP1; upregulates activation of AMPK via phosphorylation and inactivation of acetyl-CoA carboxylases",""
